SMILES,Tg,PID,Polymer Class,Tensile_Strength,Elastic_Modulus
*C*,-54.0,P010001,Polyolefins,24.28,0.66
*CC(*)C,-3.0,P010002,Polyolefins,27.7,1.03
*CC(*)CC,-24.1,P010003,Polyolefins,25.74,0.8
*CC(*)CCC,-37.0,P010004,Polyolefins,22.07,0.69
*CC(*)C(C)C,60.0,P010006,Polyolefins,35.07,1.18
*CC(*)CCCC,-50.0,P010007,Polyolefins,19.47,0.6
*CC(*)CC(C)C,35.2,P010008,Polyolefins,31.27,1.1
*CC(*)CCCCC,-45.5,P010009,Polyolefins,21.62,0.56
*CC(*)CCCCCCC,-47.0,P010012,Polyolefins,16.36,0.44
*CC(*)CCCCCCCC,-35.0,P010013,Polyolefins,18.08,0.42
*CC(*)(C)C,-72.0,P010014,Polyolefins,21.4,0.54
*CC(*)(C)CC,-5.0,P010015,Polyolefins,31.27,0.94
*CCC(*)(C)C,-12.0,P010016,Polyolefins,28.7,0.81
*CC(C)C(*)(C)C,37.0,P010017,Polyolefins,35.18,1.15
*CCCC(*)(C)C,-20.0,P010018,Polyolefins,28.42,0.81
*CCCC(*)(C)CC,-23.0,P010019,Polyolefins,26.9,0.65
*CCCCCCCC(*)C,-58.0,P010020,Polyolefins,16.77,0.36
*CC(*)C1CCCC1,75.0,P010023,Polyolefins,40.37,1.2
*CC(*)CC1CCCC1,60.0,P010024,Polyolefins,38.34,1.22
*CC(*)C1CCCCC1,119.7,P010025,Polyolefins,43.33,1.51
*CC(*)CC1CCCCC1,75.0,P010026,Polyolefins,40.57,1.34
*CC(*)Cc1ccccc1,70.0,P010027,Polyvinyls,52.01,1.84
*CC(*)CCc1ccccc1,10.0,P010028,Polyvinyls,41.13,1.52
*CC(*)CCCCCC,-54.0,P010040,Polyolefins,18.47,0.41
*CC(*)CCCCCCCCCC,-6.0,P010042,Polyolefins,18.95,0.44
*CC(*)CCCCCCCCCCCC,10.0,P010043,Polyolefins,15.96,0.45
*CC(*)CCCCCCCCCCCCCCCC,55.0,P010044,Polyolefins,17.4,0.44
*CC(*)CC(C)(C)C,190.0,P010055,Polyolefins,47.39,1.96
*CC(*)CCC1CCCCC1,40.0,P010060,Polyolefins,31.0,0.98
*CC(*)(C)CCC,27.0,P010065,Polyolefins,28.05,1.0
*/C=C/CCC*,-99.6,P010068,Polydienes,15.91,0.34
*/C=C/CCC*,-99.6,P010082,Polydienes,18.92,0.32
*/C=C/CCC*,-99.6,P010098,Polydienes,17.58,0.34
*/C=C/CC*,-69.0,P010070,Polydienes,20.78,0.59
*/C=C/CC*,-69.0,P010071,Polydienes,19.68,0.55
*/C=C/CC*,-69.0,P010072,Polydienes,20.68,0.51
*/C=C/CC*,-103.0,P010070,Polydienes,18.97,0.41
*/C=C/CC*,-103.0,P010071,Polydienes,19.7,0.35
*/C=C/CC*,-103.0,P010072,Polydienes,17.72,0.38
*/C=C/CC*,-91.0,P010070,Polydienes,18.73,0.47
*/C=C/CC*,-91.0,P010071,Polydienes,19.04,0.42
*/C=C/CC*,-91.0,P010072,Polydienes,20.47,0.44
*CCC(C)C(*)C,-26.0,P010075,Polyolefins,24.46,0.69
*CC(*)CCCCCCCCCCCCCC,-24.0,P010080,Polyolefins,10.71,0.19
*/C=C/CCCCCC*,-78.0,P010081,Polydienes,15.97,0.29
*/C=C/CCC*,-92.5,P010068,Polydienes,17.34,0.41
*/C=C/CCC*,-92.5,P010082,Polydienes,18.75,0.39
