SMILES,YM,rho,Cp,Td,Tg,Tm,NAME,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds
[*]CCCc1cccc(-c2c(Br)cc(-c3c(Br)cc(-c4cccc(N(C)CCC[*])c4)cc3Br)cc2Br)c1,2151.8022,1.6146541,1.6795536,678.0809,498.77603,583.849,"Polymer derived from aromatic unit, containing no major functional groups",733.18,11.4317,3.24,0,1,10
[*]Nc1ccc(-c2c(C)cc(C)c(-c3ccc(-c4cccc([*])c4)c(Oc4ccccc4)c3)c2C)s1,1756.3531,1.2696447,1.2378612,764.6095,530.581,628.6854,"Polymer derived from aromatic unit, containing no major functional groups",459.614,8.51746,21.26,1,3,6
[*]Oc1ccc(N=Nc2ccc(-c3cc([*])cc(Br)c3Nc3ccc(N4CCCCC4)cc3)cc2)cc1[N+](=O)[O-],2349.2024,1.265864,1.312931,692.6393,491.37595,567.5822,"Polymer derived from aromatic unit, containing no major functional groups",570.447,8.1913,92.36,1,7,8
[*]c1ccc(C(C)(CC)c2ccc([*])cc2-c2ccc(C(F)(F)F)c(C(F)(F)F)c2)cc1,1757.0889,1.2851685,1.352428,780.40076,511.19882,583.891,"Polymer derived from aromatic unit, containing no major functional groups",420.396,6.4564,0,0,0,4
[*]Oc1ccc(S(=O)(=O)c2ccc(Nc3ccc(S(=O)(=O)c4ccc(C(=O)OC5CCCN5[*])cc4)cc3)cc2)cc1,1848.2565,1.2909606,1.1896291,669.5129,490.93195,543.8774,"Polysulfone derived from aromatic unit, containing ester, ketone, sulfone",576.652,4.9819,119.08,1,9,9
[*]C(CC)=C(C#N)c1ccc(-c2cc(-c3cc(N4C(=O)c5ccc([*])cc5C4=O)ccc3C)ccc2C)cc1,2382.079,1.3263261,1.2418293,750.6685,524.1429,676.62225,"Polymer derived from aromatic unit, containing no major functional groups",480.567,6.80662,61.17,0,3,5
[*]Sc1ccc(N=Cc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,2583.1846,1.3409945,1.2234887,756.8087,520.5169,666.6576,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",475.529,5.2211,78.84,1,5,6
[*]c1ccc2c(c1)C(=O)N(c1cc(-c3cc(-c4ccc5c(c4)C(=O)N(c4cc(C)cc(C)c4)C5=O)ccc3O)cc(C(N3C(=O)c4ccc([*])cc4C3=O)(C(F)(F)F)C(F)(F)F)c1)C2=O,2473.6975,1.4699606,1.3930472,780.3469,535.5623,655.55804,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",857.719,7.90954,132.37,1,7,6
[*]c1cccc(-c2ccc(S(=O)(=O)c3ccc(Cc4ccc(C5([*])c6ccccc6C(=O)N5C)cc4)cc3)cc2)c1,1960.807,1.3169993,1.1882571,747.11707,539.9694,637.1733,"Polysulfone derived from aromatic unit, containing amide, ketone, sulfone",527.645,5.7878,54.45,0,3,6
[*]c1ccc(OCCn2on2-c2ccc3c(c2)C(=O)N([*])C3=O)c(Br)c1,1782.5315,1.3553895,1.2080591,674.49896,468.21683,575.18805,"Polyamide derived from aromatic unit, containing amide, ketone",388.177,1.9482,69.61,0,6,5
[*]c1ccc(-c2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(C(F)(F)F)c(-c5ccc([*])cc5)c4)cc3)cc2)cc1,2324.5432,1.3782566,1.3879265,787.08215,536.78723,658.1452,"Polysulfone derived from aromatic unit, containing sulfone",540.562,6.4524,51.21,0,3,6
[*]OC(=O)c1cc(-c2nc3ccccc3nc2[*])ccc1-c1ccc(-c2ccccn2)cc1,2180.7656,1.2567859,1.2984622,684.9059,461.20517,556.7895,"Polymer derived from aromatic unit, containing no major functional groups",401.425,4.8215,64.97,0,5,4
[*]C(=O)c1ccc(-c2ccc(C=Nc3ccc(Cc4nc5ccc(-c6ccc7oc([*])nc7c6)cc5o4)cc3)cc2)cc1,2415.2488,1.2421927,1.0871292,770.06476,520.1016,633.7587,"Polymer derived from aromatic unit, containing no major functional groups",531.571,7.5085,81.49,0,6,7
